id,x,y,z
TEST_00001,3.9908679,-1.051893,0.046947796
TEST_00002,1.9265114,0.61669433,0.8012785
TEST_00003,0.8070649,-0.18868402,0.1525943
TEST_00004,3.5159929,-1.6461881,-0.9442262
TEST_00005,2.3032243,0.020017957,-0.03603401
TEST_00006,4.998079,-0.7877528,0.4962064
TEST_00007,2.9024117,1.0044534,0.838131
TEST_00008,1.4402463,-0.4577891,0.4261183
TEST_00009,1.4463124,0.4892168,0.14484672
TEST_00010,2.2526987,-0.41343147,0.17351203
TEST_00011,2.3359332,-0.46358782,0.022301344
TEST_00012,4.0145144,1.5056833,0.9009758
TEST_00013,2.549727,0.5825383,-0.30973524
TEST_00014,2.1569748,1.4925257,-0.2086614
TEST_00015,3.0034957,-0.6927074,0.8714804
TEST_00016,3.2838666,0.51342994,-0.5379995
TEST_00017,4.006489,0.8528278,1.1614392
TEST_00018,3.0692406,0.26110998,-0.4858825
TEST_00019,1.4129856,0.08859979,0.29364318
TEST_00020,1.8784366,0.065869585,0.03188853
TEST_00021,3.5091417,-0.36912003,-0.14370424
TEST_00022,1.394399,0.2987418,-0.28303647
TEST_00023,2.139475,0.40612593,0.68289185
TEST_00024,3.7647033,-0.5865827,0.8192049
TEST_00025,4.9310513,1.620231,1.2202266
TEST_00026,1.7910259,-0.5957089,-0.50841326
TEST_00027,3.4656262,0.18912631,-0.34192568
TEST_00028,3.4254105,0.48620334,-0.058756832
TEST_00029,2.1799483,-1.1463702,1.3397365
TEST_00030,3.539678,-0.19120236,1.2263814
TEST_00031,1.3483689,-0.93048346,-0.09412573
TEST_00032,2.5000958,-0.8101352,-0.022387594
TEST_00033,2.159215,-0.5886213,0.47637653
TEST_00034,1.9886379,-0.1519975,0.3956838
TEST_00035,2.0566528,-0.16896665,-0.21409857
TEST_00036,3.5211244,-1.4048125,-0.54447985
TEST_00037,2.83479,-1.5791411,0.18446365
TEST_00038,0.96490717,0.3986648,-0.32264683
TEST_00039,5.16209,0.77935964,-1.1280801
